oracle_file	fn_name	tier	rule_hit
agent/src/harness/session/session.rs	storage	low	-
agent/src/harness/session/uuid.rs	uuidv7	low	-
agent/src/harness/skills.rs	format_skill_invocation	high	user-visible
agent/src/harness/skills.rs	load_skills	low	-
agent/src/harness/skills.rs	load_sourced_skills	low	-
agent/src/harness/system_prompt.rs	format_skills_for_system_prompt	high	user-visible
agent/src/harness/trigger_runtime.rs	config	low	-
agent/src/harness/trigger_runtime.rs	evaluate	low	-
agent/src/harness/trigger_runtime.rs	new	low	-
agent/src/harness/trigger_runtime.rs	record_follow_up_hop	low	-
agent/src/harness/trigger_runtime.rs	snapshot	low	-
agent/src/harness/trigger_runtime.rs	with_config	low	-
agent/src/harness/trigger.rs	is_terminal	low	-
agent/src/harness/trigger.rs	received_from	low	-
agent/src/harness/types.rs	label	medium	-
agent/src/harness/types.rs	new	medium	-
agent/src/harness/types.rs	new	medium	-
agent/src/types.rs	as_audit_str	medium	-
agent/src/types.rs	as_str	medium	-
agent/src/types.rs	default_convert_to_llm	medium	-
agent/src/types.rs	default_stream_fn	medium	-
ai/src/api_registry.rs	clear_api_providers	medium	-
ai/src/api_registry.rs	get_api_provider	medium	-
ai/src/api_registry.rs	register_api_provider	medium	-
ai/src/api_registry.rs	stream	medium	-
ai/src/api_registry.rs	stream_simple	medium	-
ai/src/api_registry.rs	unregister_api_providers	medium	-
ai/src/bedrock_anthropic.rs	new	low	-
ai/src/bedrock_provider.rs	from_env	high	credential
ai/src/bedrock_provider.rs	invoke	high	credential
ai/src/bedrock_provider.rs	register	low	-
ai/src/env_api_keys.rs	env_var_names	medium	-
ai/src/env_api_keys.rs	get_env_api_key	high	credential
ai/src/event_stream.rs	content_type	medium	-
ai/src/event_stream.rs	crc32	medium	-
ai/src/event_stream.rs	event_type	medium	-
ai/src/image_models.rs	get_image_model	low	-
ai/src/image_models.rs	list_image_models	low	-
ai/src/images_api_registry.rs	generate	medium	-
ai/src/images_api_registry.rs	get_images_api_provider	medium	-
ai/src/images_api_registry.rs	register_images_api_provider	medium	-
ai/src/images.rs	images	low	-
ai/src/models.rs	get_model	low	-
ai/src/models.rs	list_apis	low	-
ai/src/models.rs	list_models	low	-
ai/src/models.rs	register_custom_model	low	-
ai/src/models.rs	unregister_custom_model	low	-
ai/src/providers/cloudflare.rs	is_cloudflare_provider	low	-
ai/src/providers/cloudflare.rs	resolve_cloudflare_base_url	low	-
ai/src/providers/faux.rs	faux_assistant_message	low	-
ai/src/providers/faux.rs	faux_text	low	-
ai/src/providers/faux.rs	faux_thinking	low	-
ai/src/providers/faux.rs	faux_tool_call	low	-
ai/src/providers/github_copilot_headers.rs	copilot_headers	low	-
ai/src/providers/google_shared.rs	convert_messages	low	-
ai/src/providers/google_shared.rs	convert_tools	low	-
ai/src/providers/google_shared.rs	is_thinking_part	low	-
ai/src/providers/google_shared.rs	map_stop_reason	low	-
ai/src/providers/google_shared.rs	retain_thought_signature	low	-
ai/src/providers/images/openrouter.rs	generate	medium	-
ai/src/providers/images/register_builtins.rs	ensure	low	-
ai/src/providers/openai_prompt_cache.rs	placeholder	low	-
ai/src/providers/openai_responses_shared.rs	placeholder	low	-
ai/src/providers/register_builtins.rs	ensure	low	-
ai/src/providers/transform_messages.rs	transform_messages	low	-
ai/src/session_resources.rs	cleanup_session_resources	high	credential
ai/src/sigv4.rs	sign	high	credential
ai/src/stream.rs	complete	low	-
ai/src/stream.rs	complete_simple	low	-
ai/src/stream.rs	stream	low	-
ai/src/stream.rs	stream_simple	low	-
ai/src/types.rs	as_str	medium	-
ai/src/types.rs	is_terminal	medium	-
ai/src/types.rs	known	medium	-
ai/src/types.rs	text	medium	-
ai/src/types.rs	text	medium	-
ai/src/utils/abort.rs	push_aborted	medium	-
ai/src/utils/abort.rs	sleep_or_abort	medium	-
