oracle_file	fn_name	oracle_line	source	rule_hit	batch
ai/src/utils/aws_eventstream.rs	new	33	low	B	D
ai/src/utils/event_stream.rs	close	54	medium	-	D
ai/src/utils/event_stream.rs	create_assistant_message_event_stream	105	medium	-	D
ai/src/utils/event_stream.rs	is_closed	49	medium	-	D
ai/src/utils/event_stream.rs	new	71	medium	-	D
ai/src/utils/event_stream.rs	push	32	medium	-	D
ai/src/utils/event_stream.rs	result	87	medium	-	D
ai/src/utils/hash.rs	short_hash	11	low	B	D
ai/src/utils/headers.rs	merge_headers	10	low	C	D
ai/src/utils/node_http_proxy.rs	build_client	19	medium	-	D
ai/src/utils/oauth/anthropic.rs	build_authorize_url	34	low	B	D
ai/src/utils/overflow.rs	is_context_overflow	69	low	B	D
ai/src/utils/retry.rs	send_with_retry	42	medium	-	D
ai/src/utils/sse.rs	new	29	medium	-	D
ai/src/utils/validation.rs	validate	22	low	D	D
ai/src/vertex_adc.rs	build_jwt	96	low	B,D	D
coding-agent/src/agent_session.rs	harness	74	medium	-	A
coding-agent/src/agent_session.rs	is_retryable_error	57	medium	-	A
coding-agent/src/agent_session.rs	new	69	medium	-	A
coding-agent/src/agent_session.rs	prompt	87	medium	-	A
coding-agent/src/agent_session.rs	subscribe	80	medium	-	A
coding-agent/src/bug_report.rs	default_dest	24	medium	-	E1
coding-agent/src/bug_report.rs	redact	115	medium	-	E1
coding-agent/src/builtin_skills.rs	available_builtin_names	50	low	B	E1
coding-agent/src/builtin_skills.rs	merge_with_user_project	196	low	B,C	E1
coding-agent/src/builtin_skills.rs	parse_builtin_skills_config	215	low	B	E1
coding-agent/src/builtin_skills.rs	resolve_builtins	74	low	B,D	E1
coding-agent/src/clipboard_image.rs	read_clipboard	26	low	D	E1
coding-agent/src/commands.rs	set_sink	33	medium	-	E1
coding-agent/src/config.rs	base_dir	10	medium	-	E1
coding-agent/src/config.rs	cwd_hash	33	medium	-	E1
coding-agent/src/config.rs	memory_dir	27	medium	-	E1
coding-agent/src/config.rs	parse_relay_base_url	64	medium	-	E1
coding-agent/src/config.rs	parse_trigger_poll_interval_secs	44	medium	-	E1
coding-agent/src/config.rs	relay_base_url	79	medium	-	E1
coding-agent/src/config.rs	sessions_dir_for_cwd	21	medium	-	E1
coding-agent/src/export.rs	default_export_path	99	medium	-	E1
coding-agent/src/extensions.rs	init_all	71	low	B	E1
coding-agent/src/extensions.rs	iter	65	low	B	E1
coding-agent/src/extensions.rs	new	55	low	B	E1
coding-agent/src/extensions.rs	register	61	low	B	E1
coding-agent/src/goal.rs	active	55	medium	-	B
coding-agent/src/goal.rs	as_str	32	medium	-	B
