oracle_key	ts_file	ts_lines	exports	hint
agent/src/types.rs::default_stream_fn@544	packages/agent/src/types.ts	552	StreamFn,ToolExecutionMode,QueueMode,AgentToolCall,PermissionClassification,ControlPlanePromptRequest,ControlPlanePromptDecision,BeforeToolCallResult,AfterToolCallResult,BeforeToolCallContext,AfterToolCallContext,ShouldStopAfterTurnContext,AgentLoopTurnUpdate,PrepareNextTurnContext,AgentLoopConfig,ThinkingLevel,CustomAgentMessages,AgentMessage,AgentState,AgentToolResult,AgentToolUpdateCallback,AgentToolErrorCode,AgentToolError,AgentTool,AgentContext,AgentEvent	substantial+named
ai/src/bedrock_anthropic.rs::new@35		0		no-file
ai/src/event_stream.rs::content_type@56	packages/ai/src/utils/event-stream.ts	89	EventStream,AssistantMessageEventStream,createAssistantMessageEventStream	substantial
ai/src/event_stream.rs::crc32@213	packages/ai/src/utils/event-stream.ts	89	EventStream,AssistantMessageEventStream,createAssistantMessageEventStream	substantial
ai/src/event_stream.rs::event_type@53	packages/ai/src/utils/event-stream.ts	89	EventStream,AssistantMessageEventStream,createAssistantMessageEventStream	substantial
ai/src/images_api_registry.rs::generate@13	packages/ai/src/images-api-registry.ts	54	ImagesApiFunction,ImagesApiProvider,registerImagesApiProvider,getImagesApiProvider	substantial
ai/src/providers/images/openrouter.rs::generate@9	packages/ai/src/providers/images/openrouter.ts	185	generateImagesOpenRouter	substantial+named
ai/src/types.rs::as_str@48	packages/ai/src/types.ts	574	KnownApi,Api,KnownImagesApi,ImagesApi,KnownProvider,Provider,KnownImagesProvider,ImagesProvider,ThinkingLevel,ModelThinkingLevel,ThinkingLevelMap,ThinkingBudgets,CacheRetention,Transport,ProviderResponse,StreamOptions,ProviderStreamOptions,ImagesOptions,ProviderImagesOptions,SimpleStreamOptions,StreamFunction,ImagesFunction,TextSignatureV1,TextContent,ThinkingContent,ImageContent,ToolCall,Usage,StopReason,UserMessage,AssistantMessage,ToolResultMessage,Message,ImagesInputContent,ImagesOutputContent,ImagesContext,ImagesStopReason,AssistantImages,Tool,Context,AssistantMessageEvent,OpenAICompletionsCompat,OpenAIResponsesCompat,AnthropicMessagesCompat,OpenRouterRouting,VercelGatewayRouting,Model,ImagesModel	substantial
ai/src/types.rs::is_terminal@539	packages/ai/src/types.ts	574	KnownApi,Api,KnownImagesApi,ImagesApi,KnownProvider,Provider,KnownImagesProvider,ImagesProvider,ThinkingLevel,ModelThinkingLevel,ThinkingLevelMap,ThinkingBudgets,CacheRetention,Transport,ProviderResponse,StreamOptions,ProviderStreamOptions,ImagesOptions,ProviderImagesOptions,SimpleStreamOptions,StreamFunction,ImagesFunction,TextSignatureV1,TextContent,ThinkingContent,ImageContent,ToolCall,Usage,StopReason,UserMessage,AssistantMessage,ToolResultMessage,Message,ImagesInputContent,ImagesOutputContent,ImagesContext,ImagesStopReason,AssistantImages,Tool,Context,AssistantMessageEvent,OpenAICompletionsCompat,OpenAIResponsesCompat,AnthropicMessagesCompat,OpenRouterRouting,VercelGatewayRouting,Model,ImagesModel	substantial
ai/src/types.rs::known@23	packages/ai/src/types.ts	574	KnownApi,Api,KnownImagesApi,ImagesApi,KnownProvider,Provider,KnownImagesProvider,ImagesProvider,ThinkingLevel,ModelThinkingLevel,ThinkingLevelMap,ThinkingBudgets,CacheRetention,Transport,ProviderResponse,StreamOptions,ProviderStreamOptions,ImagesOptions,ProviderImagesOptions,SimpleStreamOptions,StreamFunction,ImagesFunction,TextSignatureV1,TextContent,ThinkingContent,ImageContent,ToolCall,Usage,StopReason,UserMessage,AssistantMessage,ToolResultMessage,Message,ImagesInputContent,ImagesOutputContent,ImagesContext,ImagesStopReason,AssistantImages,Tool,Context,AssistantMessageEvent,OpenAICompletionsCompat,OpenAIResponsesCompat,AnthropicMessagesCompat,OpenRouterRouting,VercelGatewayRouting,Model,ImagesModel	substantial+named
ai/src/types.rs::text@269	packages/ai/src/types.ts	574	KnownApi,Api,KnownImagesApi,ImagesApi,KnownProvider,Provider,KnownImagesProvider,ImagesProvider,ThinkingLevel,ModelThinkingLevel,ThinkingLevelMap,ThinkingBudgets,CacheRetention,Transport,ProviderResponse,StreamOptions,ProviderStreamOptions,ImagesOptions,ProviderImagesOptions,SimpleStreamOptions,StreamFunction,ImagesFunction,TextSignatureV1,TextContent,ThinkingContent,ImageContent,ToolCall,Usage,StopReason,UserMessage,AssistantMessage,ToolResultMessage,Message,ImagesInputContent,ImagesOutputContent,ImagesContext,ImagesStopReason,AssistantImages,Tool,Context,AssistantMessageEvent,OpenAICompletionsCompat,OpenAIResponsesCompat,AnthropicMessagesCompat,OpenRouterRouting,VercelGatewayRouting,Model,ImagesModel	substantial+named
ai/src/types.rs::text@288	packages/ai/src/types.ts	574	KnownApi,Api,KnownImagesApi,ImagesApi,KnownProvider,Provider,KnownImagesProvider,ImagesProvider,ThinkingLevel,ModelThinkingLevel,ThinkingLevelMap,ThinkingBudgets,CacheRetention,Transport,ProviderResponse,StreamOptions,ProviderStreamOptions,ImagesOptions,ProviderImagesOptions,SimpleStreamOptions,StreamFunction,ImagesFunction,TextSignatureV1,TextContent,ThinkingContent,ImageContent,ToolCall,Usage,StopReason,UserMessage,AssistantMessage,ToolResultMessage,Message,ImagesInputContent,ImagesOutputContent,ImagesContext,ImagesStopReason,AssistantImages,Tool,Context,AssistantMessageEvent,OpenAICompletionsCompat,OpenAIResponsesCompat,AnthropicMessagesCompat,OpenRouterRouting,VercelGatewayRouting,Model,ImagesModel	substantial+named
ai/src/utils/abort.rs::push_aborted@116	packages/ai/src/utils/abort.ts	55	zeroUsage,abortedMessage	substantial
ai/src/utils/abort.rs::sleep_or_abort@44	packages/ai/src/utils/abort.ts	55	zeroUsage,abortedMessage	substantial
