oracle_key	ts_file	ts_lines	exports	hint
coding-agent/src/tools/mod.rs::new_cron_job_tool@122	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial
coding-agent/src/tools/mod.rs::new_trigger_tool@151	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial
coding-agent/src/tools/mod.rs::skill_builder_tool@100	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial+named
coding-agent/src/tools/mod.rs::skill_tool@82	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial+named
coding-agent/src/tools/mod.rs::subagent_read_only_tools@50	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial+named
coding-agent/src/tools/mod.rs::task_tool@63	packages/coding-agent/src/tools/index.ts	293	DefaultToolsOptions,defaultTools,SubagentReadOnlyToolsOptions,subagentReadOnlyTools,taskTool,DefaultToolDefinitionsOptions,defaultToolDefinitions,createGitTool,createGitToolDefinition,createInstallSkillTool,createInstallSkillToolDefinition,McpAgentTool,createMemoryTool,createMemoryToolDefinition,createRemoveSkillTool,createRemoveSkillToolDefinition,createSetSkillStateTool,createSetSkillStateToolDefinition,createSkillTool,createSkillToolDefinition,createSkillBuilderTool,createSkillBuilderToolDefinition,createTaskTool,createTaskToolDefinition,createWebFetchTool,createWebFetchToolDefinition,createWebSearchTool,createWebSearchToolDefinition	substantial+named
coding-agent/src/tools/task.rs::new@49	packages/coding-agent/src/tools/task.ts	226	TaskSubagentType,TaskToolInput,TaskToolDetails,TaskToolOptions,createTaskToolDefinition,createTaskTool	substantial
coding-agent/src/tools/truncate.rs::note@17	packages/agent/src/harness/utils/truncate.ts	345	DEFAULT_MAX_LINES,DEFAULT_MAX_BYTES,GREP_MAX_LINE_LENGTH,TruncationResult,TruncationOptions,formatSize,truncateHead,truncateTail,truncateLine	substantial
coding-agent/src/tools/web_search.rs::with_base_url@40	packages/coding-agent/src/tools/web-search.ts	270	WebSearchToolInput,WebSearchToolDetails,WebSearchToolOptions,createWebSearchToolDefinition,createWebSearchTool	substantial
coding-agent/src/tui.rs::banner@47	packages/coding-agent/src/tui.ts	729	OutputSink,STDOUT_SINK,RESET,ITALIC,YELLOW,RED,DARK_GREY,DARK_GREEN,truncateChars,preview,isNoMatchDynamicSummary,Tui	substantial
